hipps_code,hhrg_weight
4CFMV,1.9578
4CFMW,1.9578
4CFMX,1.9578
4CGKS,1.5573
4CGKT,1.5573
4CGKU,1.5573
4CGKV,1.5573
4CGKW,1.5573
4CGKX,1.5573
4CGLS,1.7760
4CGLT,1.7760
4CGLU,1.7760
4CGLV,1.7760
4CGLW,1.7760
4CGLX,1.7760
4CGMS,1.9948
4CGMT,1.9948
4CGMU,1.9948
4CGMV,1.9948
4CGMW,1.9948
4CGMX,1.9948
4CHKS,1.6803
4CHKT,1.6803
4CHKU,1.6803
4CHKV,1.6803
4CHKW,1.6803
4CHKX,1.6803
4CHLS,1.8852
4CHLT,1.8852
4CHLU,1.8852
4CHLV,1.8852
4CHLW,1.8852
4CHLX,1.8852
4CHMS,2.0901
4CHMT,2.0901
4CHMU,2.0901
4CHMV,2.0901
4CHMW,2.0901
4CHMX,2.0901
5AFKS,1.8122
5AFKT,1.8122
5AFKU,1.8122
5AFKV,1.8122
5AFKW,1.8122
5AFKX,1.8122
5AGKS,1.8631
5AGKT,1.8631
5AGKU,1.8631
5AGKV,1.8631
5AGKW,1.8631
5AGKX,1.8631
5AHKS,1.9446
5AHKT,1.9446
5AHKU,1.9446
5AHKV,1.9446
5AHKW,1.9446
5AHKX,1.9446
5BFKS,1.9208
5BFKT,1.9208
5BFKU,1.9208
5BFKV,1.9208
5BFKW,1.9208
5BFKX,1.9208
5BGKS,1.9717
5BGKT,1.9717
5BGKU,1.9717
5BGKV,1.9717
5BGKW,1.9717
5BGKX,1.9717
5BHKS,2.0532
5BHKT,2.0532
5BHKU,2.0532
5BHKV,2.0532
5BHKW,2.0532
5BHKX,2.0532
5CFKS,2.1626
5CFKT,2.1626
5CFKU,2.1626
5CFKV,2.1626
5CFKW,2.1626
5CFKX,2.1626
5CGKS,2.2135
5CGKT,2.2135
5CGKU,2.2135
5CGKV,2.2135
5CGKW,2.2135
5CGKX,2.2135
5CHKS,2.2950
5CHKT,2.2950
5CHKU,2.2950
5CHKV,2.2950
5CHKW,2.2950
5CHKX,2.2950
